17.95,3.7,2,New Zealand,Red
17.45,3.9,2,Portugal,Red
36.82,3.7,15,New Zealand,Red
24.95,3.9,4,France,Red
16.94,3.5,3,France,Red
19.90,3.8,4,France,Red
14.75,3.6,2,France,White
7.22,3.6,2,Spain,White
9.99,3.6,6,Spain,Red
8.15,3.5,2,Spain,Red
25.98,3.9,6,Italy,Red
51.49,4,1,France,White
13.20,3.9,4,Australia,Red
10.30,3.5,2,France,Red
18.95,3.8,6,Australia,Red
29.47,3.7,9,France,Red
6.71,3.6,4,Italy,Red
9.52,3.5,5,France,Red
5.53,3.3,4,Australia,Red
6.86,3.7,3,France,Red
27.50,4.3,1,Italy,Red
13.12,3.4,8,France,Red
16.80,3.5,3,South Africa,White
12.00,3.8,4,Italy,Red
7.70,3.6,3,Chile,Red
16.49,4.2,5,Germany,Red
21.41,3.9,4,France,Red
50.97,4.4,6,New Zealand,Red
19.30,4.2,3,Spain,Red
27.47,4.1,9,Spain,Red
12.42,3.6,4,Spain,White
38.95,3.7,6,Spain,Red
13.78,4.3,3,Spain,Red
6.28,3.6,2,Australia,Red
7.07,3.7,4,France,Red
26.99,3.7,8,Australia,Red
12.41,3.9,4,France,Red
12.50,4.1,5,Italy,Red
10.70,3.9,9,Spain,Red
14.18,3.9,4,Italy,Red
73.56,4,7,Australia,Red
21.69,3.9,5,Spain,Red
14.18,3.9,4,Italy,Red
30.10,3.5,8,Spain,Red
57.99,4.1,4,New Zealand,Red
42.02,4.4,15,Australia,Red
8.90,3.9,8,France,Red
48.40,4.3,9,Spain,Red
24.93,4,14,Spain,Red
75,4.3,11,Spain,Red
35.60,4.2,6,Spain,Red
19.95,3.9,5,France,Red
7.85,4,4,Portugal,Red
10,3.3,4,Chile,Red
7.37,3.8,5,Italy,Red
11.31,3.6,5,Australia,Red
15.30,4,7,Spain,Red
52.10,4.2,8,Australia,Red
32.66,3.8,9,France,Red
29.63,4.2,5,Australia,Red
19.18,3.9,5,Australia,Red
9.97,3.3,7,Italy,Red
23.67,4,7,Australia,Red
23.40,3.8,7,Australia,Red
39.09,4.1,8,Australia,Red
41.02,3.9,9,Australia,White
23.29,4.2,10,Australia,Red
33.64,4.2,10,Australia,Red
36.17,4.2,8,Australia,Red
44.92,4.2,12,Australia,Red
32.63,4.3,20,Australia,Red
14.55,2.8,7,France,Red
58.48,4.2,9,France,White
28.80,4.2,8,Australia,Red
19.07,4.1,11,Australia,Red
19.34,3.7,10,Australia,Red
16.05,4.1,9,Australia,Red
25.86,3.9,9,Australia,Red
15.67,3.9,6,Australia,White
8.92,3.7,9,Australia,Red
34,3.7,11,New Zealand,Red
31.95,4.1,8,New Zealand,White





